Id;Material;TemperaturaSintetizacao;EstruturaCristalina;ConstanteDieletrica;FatorQualidade;FrequenciaMedicao;VariacaoTemperaturaFrequenciaRessonante;Referencia;Elementos;Compostos
112;K0.9Ba0.1Ga1.1Ge2.9O8;1040;Monoclinic C2/m;6.4;94700;12;-23;39;K,Ba,Ga,Ge,O;K0,Ba0,Ga1,Ge2,O8
113;Y2BaCu0.75Ni0.25O5;;Orthorhombic;6.4;8350;13.5;-40;58;Y,Ba,Cu,Ni,O;Y2,Ba,Cu0,Ni0,O5
114;K0.4Ba0.6Ga1.6Ge2.4O8;1040;Monoclinic P21/a;6.4;94700;12;-23;39;K,Ba,Ga,Ge,O;K0,Ba0,Ga1,Ge2,O8
115;BaAl2Si2O8;1475/3h;Hexagonal P6/mmm;6.4;44800;;-47;59;Ba,Al,Si,O;Ba,Al2,Si2,O8
116;Ca0.99Mg0.01SiO3;1290/2h;Wollastonite Monoclinic P21/a;6.5;62400;;-43;60;Ca,Mg,Si,O;Ca0,Mg0,Si,O3
117;Mg2GeO4+3 wt% B2O3;1200/4h;Orthorombic Pnma;6.5;91000;;-28;61;Mg,Ge,O,B;Mg2,Ge,O4,B2,O3
118;ZnO-B2O3-SiO2 glass (60.3:27.1:12.6);;Glass;6.5;4500;17.1;-10;35;Zn,O,B,Si;Zn,O,B2,O3,Si,O2
119;0.3TeO2-SnTe3O8;660;Composite;6.5;8800;;200;62;Te,O,Sn;Te,O2,Sn,Te3,O8
120;Li2CaSiO4+0.5 wt% BBS;925;Tetragonal I-42m;6.5;5500;;;14;Li,Ca,Si,O,Ba,B;Li2,Ca,Si,O4,Ba,O,B2,O3,Si,O2
121;Li2CaSiO4+0.5 wt% PBS;925;Tetragonal I-42m;6.5;1500;;;14;Li,Ca,Si,O,Pb,B;Li2,Ca,Si,O4,Pb,O,B2,O3,Si,O2
122;0.15ZnO-0.25Nd2O3-0.6B2O3+50 wt% Al2O3;850;Composite;6.5;22500;18.9;;63;Zn,O,Nd,B,Al;Zn,O,Nd2,O3,B2,O3,Al2,O3
123;Mg3B3O6+35 wt% LMBS;950;Composite;6.5;21000;;-50;64;Mg,B,O,L,M,S;Mg3,B3,O6,L,M,B,S
124;(Zn1-xCox)2SiO4 (x=0.05);900;Willimite Rhombic R3;6.5;5700;;-55;65;Zn,Co,Si,O;Zn1,Co,Si,O4
125;(Zn0.095Co0.05)2SiO4+2 wt%Li2O-B2O3-SiO2-CaO-Al2O3;900;Willimite;6.5;57000;;-55;66;Zn,Co,Si,O,Li,B,Ca,Al;Zn0,Co0,Si,O4,Li2,O,B2,O3,Si,O2,Ca,O,Al2,O3
126;LiMgPO4;950;Orthorhombic Pmnb;6.6;79100;;-60;67;Li,Mg,P,O;Li,Mg,P,O4
127;(Mg0.4Zn0.6)2SiO4;;Trigonal R-3;6.6;95650;;-60;68;Mg,Zn,Si,O;Mg0,Zn0,Si,O4
